0.5675,0.125
0.8825,0.7275
0.2175,0.8675
0.225,0.21
0.9125,0.4675
0.505,0.945
0.14,0.2975
0.8275,0.24
0.65,0.935
0.0775,0.49
0.7425,0.28
0.7075,0.925
0.1,0.51
0.625,0.13
0.86,0.87
0.1525,0.825
0.3325,0.1375
0.9425,0.51
0.435,0.95
0.1175,0.345
0.7625,0.1775
0.8075,0.89
0.12,0.7525
0.475,0.1025
0.935,0.53
0.2925,0.915
0.2025,0.2325
0.8575,0.28
0.3925,0.9575
0.1625,0.265
0.8825,0.31
0.555,0.945
0.1625,0.3575
0.7975,0.2725
0.6425,0.895
0.125,0.3925
0.7875,0.32
0.5975,0.9025
0.185,0.32
0.8225,0.3175
0.53,0.8975
0.205,0.2875
0.825,0.3575
0.3925,0.9
0.25,0.2475
0.8825,0.56
0.3325,0.8875
0.38,0.1675
0.86,0.66
0.215,0.775
0.6875,0.2425
0.7125,0.855
0.16,0.525
0.7875,0.375
0.4125,0.8425
0.4475,0.245
0.715,0.77
0.2375,0.52
0.67,0.2875
0.5425,0.835
0.3125,0.3
0.735,0.375
0.33,0.8
0.4725,0.1675
0.6725,0.78
0.28,0.355
0.7575,0.42
0.2975,0.7625
0.6325,0.355
0.375,0.8275
0.48,0.27
0.785,0.8025
0.2225,0.5525
0.705,0.3175
0.4675,0.845
0.3675,0.2625
0.7925,0.6
0.1775,0.4525
0.83,0.445
0.41,0.7925
0.5825,0.2625
0.6,0.81
0.3375,0.325
0.6975,0.7275
0.23,0.39
0.77,0.7175
0.1825,0.57
0.78,0.6475
0.2425,0.4525
0.74,0.665
0.285,0.4125
0.635,0.755
0.4,0.32
0.485,0.7975
0.725,0.465
0.27,0.5475
0.5825,0.765
0.6675,0.3775
0.29,0.4675
0.355,0.735
